,name_normalized,total_points
19852,aaron cresswell,0
19853,aaron cresswell,0
19854,aaron cresswell,0
19855,aaron cresswell,1
19856,aaron cresswell,0
19857,aaron cresswell,0
19858,aaron cresswell,0
19859,aaron cresswell,0
19860,aaron cresswell,2
19861,aaron cresswell,1
19862,aaron cresswell,1
19863,aaron cresswell,2
19864,aaron cresswell,1
19865,aaron cresswell,1
19866,aaron cresswell,0
19867,aaron cresswell,0
19868,aaron cresswell,0
19869,aaron cresswell,0
19870,aaron cresswell,2
19871,aaron cresswell,1
19872,aaron cresswell,1
19873,aaron cresswell,6
19874,aaron cresswell,1
19875,aaron cresswell,0
19876,aaron cresswell,2
19877,aaron cresswell,2
19878,aaron cresswell,2
19879,aaron cresswell,0
19880,aaron cresswell,1
19881,aaron cresswell,1
19882,aaron cresswell,4
19883,aaron cresswell,1
19884,aaron cresswell,1
19885,aaron cresswell,0
19886,aaron cresswell,0
19887,aaron cresswell,0
19888,aaron cresswell,0
19889,aaron cresswell,0
19890,aaron lennon,3
19891,aaron lennon,2
19892,aaron lennon,2
19893,aaron lennon,2
19894,aaron lennon,2
19895,aaron lennon,13
19896,aaron lennon,1
19897,aaron lennon,2
19898,aaron lennon,2
19899,aaron lennon,0
19900,aaron lennon,2
19901,aaron lennon,3
19902,aaron lennon,2
19903,aaron lennon,1
19904,aaron lennon,1
19905,aaron lennon,1
19906,aaron lennon,2
19907,aaron lennon,0
19908,aaron lennon,0
19909,aaron lennon,0
19910,aaron lennon,0
19911,aaron lennon,0
19912,aaron lennon,0
19913,aaron lennon,0
19914,aaron lennon,0
19915,aaron lennon,0
19916,aaron lennon,0
19917,aaron lennon,0
19918,aaron lennon,0
19919,aaron lennon,0
19920,aaron lennon,0
19921,aaron lennon,0
19922,aaron lennon,0
19923,aaron lennon,0
19924,aaron lennon,0
19925,aaron lennon,0
19926,aaron lennon,0
19927,aaron lennon,0
19928,aaron mooy,2
19929,aaron mooy,0
19930,aaron mooy,3
19931,aaron mooy,2
19932,aaron mooy,2
19933,aaron mooy,2
19934,aaron mooy,2
19935,aaron mooy,2
19936,aaron mooy,2
19937,aaron mooy,1
19938,aaron mooy,3
19939,aaron mooy,2
19940,aaron mooy,16
19941,aaron mooy,2
19942,aaron mooy,1
19943,aaron mooy,2
19944,aaron mooy,0
19945,aaron mooy,0
19946,aaron mooy,0
19947,aaron mooy,0
19948,aaron mooy,0
19949,aaron mooy,0
19950,aaron mooy,0
19951,aaron mooy,1
19952,aaron mooy,2
19953,aaron mooy,2
19954,aaron mooy,2
19955,aaron mooy,1
19956,aaron mooy,0
19957,aaron mooy,1
19958,aaron mooy,6
19959,aaron mooy,2
19960,aaron mooy,8
19961,aaron mooy,1
19962,aaron mooy,2
19963,aaron mooy,0
19964,aaron mooy,2
19965,aaron mooy,2
19966,aaron ramsey,1
19967,aaron ramsey,1
19968,aaron ramsey,2
19969,aaron ramsey,2
19970,aaron ramsey,3
19971,aaron ramsey,9
19972,aaron ramsey,3
19973,aaron ramsey,10
19974,aaron ramsey,1
19975,aaron ramsey,1
19976,aaron ramsey,1
19977,aaron ramsey,4
19978,aaron ramsey,1
19979,aaron ramsey,7
19980,aaron ramsey,1
19981,aaron ramsey,0
19982,aaron ramsey,0
19983,aaron ramsey,0
19984,aaron ramsey,1
19985,aaron ramsey,2
19986,aaron ramsey,6
19987,aaron ramsey,1
19988,aaron ramsey,3
19989,aaron ramsey,1
19990,aaron ramsey,1
19991,aaron ramsey,0
19992,aaron ramsey,3
19993,aaron ramsey,0
19994,aaron ramsey,8
19995,aaron ramsey,3
19996,aaron ramsey,11
19997,aaron ramsey,1
19998,aaron ramsey,3
19999,aaron ramsey,0
20000,aaron ramsey,0
20001,aaron ramsey,0
20002,aaron ramsey,0
20003,aaron ramsey,0
20004,aaron rowe,1
20005,aaron rowe,1
20006,aaron rowe,0
20007,aaron rowe,0
20008,aaron rowe,0
20009,aaron rowe,0
20010,aaron rowe,0
20011,aaron rowe,0
20012,aaron rowe,0
20013,aaron wan-bissaka,12
20014,aaron wan-bissaka,-2
20015,aaron wan-bissaka,0
20016,aaron wan-bissaka,0
20017,aaron wan-bissaka,9
20018,aaron wan-bissaka,9
20019,aaron wan-bissaka,1
20020,aaron wan-bissaka,2
20021,aaron wan-bissaka,1
20022,aaron wan-bissaka,1
20023,aaron wan-bissaka,1
20024,aaron wan-bissaka,2
20025,aaron wan-bissaka,6
20026,aaron wan-bissaka,6
20027,aaron wan-bissaka,1
20028,aaron wan-bissaka,1
20029,aaron wan-bissaka,6
20030,aaron wan-bissaka,1
20031,aaron wan-bissaka,8
20032,aaron wan-bissaka,2
20033,aaron wan-bissaka,6
20034,aaron wan-bissaka,4
20035,aaron wan-bissaka,0
20036,aaron wan-bissaka,1
20037,aaron wan-bissaka,5
20038,aaron wan-bissaka,1
20039,aaron wan-bissaka,0
20040,aaron wan-bissaka,0
20041,aaron wan-bissaka,5
20042,aaron wan-bissaka,1
20043,aaron wan-bissaka,6
20044,aaron wan-bissaka,1
20045,aaron wan-bissaka,7
20046,aaron wan-bissaka,1
20047,aaron wan-bissaka,1
20048,aaron wan-bissaka,9
20049,aaron wan-bissaka,1
20050,aaron wan-bissaka,4
20051,abd-al-ali morakinyo olaposi koiki,0
20052,abd-al-ali morakinyo olaposi koiki,0
20053,abd-al-ali morakinyo olaposi koiki,0
20054,abd-al-ali morakinyo olaposi koiki,0
20055,abd-al-ali morakinyo olaposi koiki,0
20056,abd-al-ali morakinyo olaposi koiki,0
20057,abd-al-ali morakinyo olaposi koiki,0
20058,abd-al-ali morakinyo olaposi koiki,0
20059,abd-al-ali morakinyo olaposi koiki,0
20060,abd-al-ali morakinyo olaposi koiki,0
20061,abd-al-ali morakinyo olaposi koiki,0
20062,abd-al-ali morakinyo olaposi koiki,0
20063,abd-al-ali morakinyo olaposi koiki,0
20064,abd-al-ali morakinyo olaposi koiki,0
20065,abd-al-ali morakinyo olaposi koiki,0
20066,abd-al-ali morakinyo olaposi koiki,0
20067,abd-al-ali morakinyo olaposi koiki,0
20068,abd-al-ali morakinyo olaposi koiki,0
20069,abd-al-ali morakinyo olaposi koiki,0
20070,abd-al-ali morakinyo olaposi koiki,0
20071,abd-al-ali morakinyo olaposi koiki,0
20072,abdelhamid sabiri,0
20073,abdelhamid sabiri,1
20074,abdelhamid sabiri,0
20075,abdelhamid sabiri,0
20076,abdelhamid sabiri,0
20077,abdelhamid sabiri,0
20078,abdelhamid sabiri,0
20079,abdelhamid sabiri,0
20080,abdelhamid sabiri,0
20081,abdelhamid sabiri,0
20082,abdelhamid sabiri,0
20083,abdelhamid sabiri,0
20084,abdelhamid sabiri,0
20085,abdelhamid sabiri,0
20086,abdelhamid sabiri,1
20087,abdelhamid sabiri,0
20088,abdelhamid sabiri,0
20089,abdelhamid sabiri,0
20090,abdelhamid sabiri,0
20091,abdelhamid sabiri,0
20092,abdelhamid sabiri,0
20093,abdelhamid sabiri,0
20094,abdelhamid sabiri,0
20095,abdelhamid sabiri,0
20096,abdelhamid sabiri,0
20097,abdelhamid sabiri,0
20098,abdelhamid sabiri,0
20099,abdelhamid sabiri,0
20100,abdelhamid sabiri,0
20101,abdelhamid sabiri,0
20102,abdelhamid sabiri,0
20103,abdelhamid sabiri,0
20104,abdelhamid sabiri,0
20105,abdelhamid sabiri,0
20106,abdelhamid sabiri,0
20107,abdelhamid sabiri,0
20108,abdelhamid sabiri,0
20109,abdelhamid sabiri,0
20110,abdoulaye doucoure,3
20111,abdoulaye doucoure,6
20112,abdoulaye doucoure,2
20113,abdoulaye doucoure,0
20114,abdoulaye doucoure,8
20115,abdoulaye doucoure,2
20116,abdoulaye doucoure,1
20117,abdoulaye doucoure,1
20118,abdoulaye doucoure,11
20119,abdoulaye doucoure,3
20120,abdoulaye doucoure,2
20121,abdoulaye doucoure,2
20122,abdoulaye doucoure,2
20123,abdoulaye doucoure,2
20124,abdoulaye doucoure,8
20125,abdoulaye doucoure,8
20126,abdoulaye doucoure,5
20127,abdoulaye doucoure,3
20128,abdoulaye doucoure,2
20129,abdoulaye doucoure,7
20130,abdoulaye doucoure,0
20131,abdoulaye doucoure,2
20132,abdoulaye doucoure,0
20133,abdoulaye doucoure,0
20134,abdoulaye doucoure,0
20135,abdoulaye doucoure,3
20136,abdoulaye doucoure,6
20137,abdoulaye doucoure,2
20138,abdoulaye doucoure,1
20139,abdoulaye doucoure,2
20140,abdoulaye doucoure,10
20141,abdoulaye doucoure,7
20142,abdoulaye doucoure,2
20143,abdoulaye doucoure,5
20144,abdoulaye doucoure,1
20145,abdoulaye doucoure,2
20146,abdoulaye doucoure,1
20147,abdoulaye doucoure,2
20148,aboubakar kamara,1
20149,aboubakar kamara,2
20150,aboubakar kamara,0
20151,aboubakar kamara,0
20152,aboubakar kamara,0
20153,aboubakar kamara,0
20154,aboubakar kamara,0
20155,aboubakar kamara,1
20156,aboubakar kamara,0
20157,aboubakar kamara,1
20158,aboubakar kamara,0
20159,aboubakar kamara,0
20160,aboubakar kamara,1
20161,aboubakar kamara,1
20162,aboubakar kamara,8
20163,aboubakar kamara,5
20164,aboubakar kamara,2
20165,aboubakar kamara,0
20166,aboubakar kamara,2
20167,aboubakar kamara,-1
20168,aboubakar kamara,5
20169,aboubakar kamara,0
20170,aboubakar kamara,0
20171,aboubakar kamara,0
20172,aboubakar kamara,0
20173,aboubakar kamara,0
20174,aboubakar kamara,0
20175,aboubakar kamara,0
20176,aboubakar kamara,0
20177,aboubakar kamara,0
20178,aboubakar kamara,0
20179,aboubakar kamara,0
20180,aboubakar kamara,0
20181,aboubakar kamara,0
20182,aboubakar kamara,0
20183,aboubakar kamara,0
20184,aboubakar kamara,0
20185,aboubakar kamara,0
20186,adalberto penaranda,0
20187,adalberto penaranda,0
20188,adalberto penaranda,0
20189,adalberto penaranda,0
20190,adalberto penaranda,0
20191,adalberto penaranda,0
20192,adalberto penaranda,0
20193,adalberto penaranda,0
20194,adalberto penaranda,0
20195,adalberto penaranda,0
20196,adalberto penaranda,0
20197,adalberto penaranda,0
20198,adalberto penaranda,0
20199,adalberto penaranda,0
20200,adalberto penaranda,0
20201,adalberto penaranda,0
20202,adalberto penaranda,0
20203,adalberto penaranda,0
20204,adalberto penaranda,0
20205,adalberto penaranda,0
20206,adalberto penaranda,0
20207,adalberto penaranda,0
20208,adalberto penaranda,0
20209,adalberto penaranda,0
20210,adalberto penaranda,0
20211,adam lallana,0
20212,adam lallana,1
20213,adam lallana,0
20214,adam lallana,0
20215,adam lallana,0
20216,adam lallana,0
20217,adam lallana,0
20218,adam lallana,0
20219,adam lallana,2
20220,adam lallana,3
20221,adam lallana,0
20222,adam lallana,0
20223,adam lallana,0
20224,adam lallana,0
20225,adam lallana,0
20226,adam lallana,4
20227,adam lallana,0
20228,adam lallana,1
20229,adam lallana,0
20230,adam lallana,1
