,total_points
0,0
1,0
2,0
3,1
4,1
5,2
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,6
14,1
15,0
16,2
17,2
18,2
19,0
20,1
21,1
22,4
23,1
24,1
25,0
26,0
27,0
28,2
29,2
30,2
31,2
32,13
33,1
34,2
35,2
36,0
37,2
38,3
39,2
40,1
41,1
42,1
43,2
44,0
45,0
46,0
47,0
48,3
49,2
50,2
51,2
52,2
53,2
54,2
55,1
56,3
57,2
58,16
59,2
60,1
61,2
62,0
63,0
64,0
65,2
66,2
67,2
68,1
69,0
70,1
71,6
72,2
73,8
74,1
75,2
76,0
77,2
78,2
79,1
80,2
81,2
82,3
83,9
84,3
85,10
86,1
87,1
88,1
89,4
90,1
91,7
92,1
93,0
94,0
95,0
96,2
97,6
98,1
99,3
100,1
101,1
102,0
103,3
104,0
105,8
106,3
107,11
108,1
109,3
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,-2
118,0
119,0
120,9
121,9
122,1
123,2
124,1
125,1
126,1
127,2
128,6
129,6
130,1
131,1
132,6
133,1
134,8
135,2
136,6
137,4
138,0
139,1
140,5
141,1
142,0
143,0
144,5
145,1
146,6
147,1
148,7
149,1
150,1
151,9
152,1
153,4
154,0
155,0
156,0
157,0
158,0
159,0
160,6
161,2
162,0
163,8
164,2
165,1
166,1
167,11
168,3
169,2
170,2
171,2
172,2
173,8
174,8
175,5
176,3
177,2
178,7
179,0
180,2
181,0
182,0
183,0
184,6
185,2
186,1
187,2
188,10
189,7
190,2
191,5
192,1
193,2
194,1
195,2
196,2
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,8
207,5
208,2
209,0
210,2
211,-1
212,5
213,0
214,0
215,0
216,0
217,0
218,0
219,3
220,0
221,0
222,0
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,2
232,0
233,0
234,1
235,1
236,2
237,3
238,0
239,0
240,0
241,0
242,0
243,0
244,8
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,-1
257,0
258,1
259,0
260,0
261,2
262,2
263,1
264,0
265,0
266,0
267,2
268,-2
269,2
270,7
271,1
272,2
273,6
274,6
275,6
276,0
277,1
278,0
279,0
280,0
281,6
282,6
283,0
284,0
285,1
286,0
287,2
288,1
289,0
290,0
291,0
292,6
293,0
294,0
295,6
296,4
297,1
298,3
299,1
300,1
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,2
309,2
310,4
311,0
312,0
313,0
314,0
315,1
316,8
317,1
318,1
319,0
320,1
321,1
322,2
323,1
324,1
325,1
326,2
327,0
328,1
329,0
330,2
331,1
332,1
333,1
334,1
335,0
336,0
337,1
338,4
339,1
340,0
341,3
342,1
343,2
344,0
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,2
361,1
362,1
363,0
364,0
365,0
366,2
367,0
368,1
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,4
382,0
383,0
384,0
385,6
386,6
387,2
388,2
389,1
390,1
391,0
392,1
393,0
394,1
395,1
396,2
397,1
398,2
399,8
400,0
401,6
402,6
403,2
404,0
405,1
406,0
407,0
408,1
409,0
410,2
411,0
412,1
413,1
414,1
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,2
423,1
424,8
425,2
426,2
427,1
428,0
429,0
430,6
431,0
432,0
433,0
434,3
435,2
436,1
437,1
438,2
439,-2
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,6
449,16
450,5
451,2
452,8
453,1
454,2
455,5
456,1
457,1
458,2
459,13
460,2
461,5
462,1
463,2
464,2
465,2
466,7
467,2
468,2
469,1
470,13
471,2
472,1
473,2
474,2
475,2
476,2
477,2
478,0
479,2
480,5
481,5
482,2
483,2
484,2
485,4
486,0
487,0
488,1
489,4
490,2
491,2
492,2
493,4
494,1
495,2
496,1
497,2
498,1
499,2
500,6
501,1
502,5
503,6
504,2
505,1
506,1
507,2
508,8
509,6
510,1
511,2
512,1
513,3
514,1
515,3
516,1
517,2
518,1
519,1
520,10
521,2
522,2
523,8
524,0
525,1
526,2
527,2
528,6
529,6
530,0
