player_name,name,position
Aaron Cresswell,Aaron Cresswell,DEF
Aaron Lennon,Aaron Lennon,MID
Aaron Mooy,Aaron Mooy,MID
Aaron Ramsey,Aaron Ramsey,MID
Aaron Wan-Bissaka,Aaron Wan-Bissaka,DEF
Abdelhamid Sabiri,Abdelhamid Sabiri,MID
Abdoulaye Doucour√©,Abdoulaye Doucouré,MID
Aboubakar Kamara,Aboubakar Kamara,FWD
Adama Diakhaby,Adama Diakhaby,FWD
Adama Traor√©,Adama Traoré,FWD
Adam Lallana,Adam Lallana,MID
Adam Masina,Adam Masina,DEF
Adam Smith,Adam Smith,DEF
Ademola Lookman,Ademola Lookman,FWD
Adrian Mariappa,Adrian Mariappa,DEF
Adrien Sebastian Perruchet Silva,Adrien Sebastian Perruchet Silva,MID
Adri√°n San Miguel del Castillo,Adrián San Miguel del Castillo,GKP
Ainsley Maitland-Niles,Ainsley Maitland-Niles,MID
Alberto Moreno,Alberto Moreno,DEF
Aleksandar Mitrovic,Aleksandar Mitrovic,FWD
Alexander S√∏rloth,Alexander Sørloth,FWD
Alexandre Lacazette,Alexandre Lacazette,FWD
Alexis S√°nchez,Alexis Sánchez,FWD
Alex Iwobi,Alex Iwobi,MID
Alex McCarthy,Alex McCarthy,GKP
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,MID
Alex Pritchard,Alex Pritchard,MID
Alex Smithies,Alex Smithies,GKP
Alfie Mawson,Alfie Mawson,DEF
Alireza Jahanbakhsh,Alireza Jahanbakhsh,MID
Alisson Ramses Becker,Alisson Ramses Becker,GKP
Anders Lindegaard,Anders Lindegaard,GKP
Ander Herrera,Ander Herrera,MID
Andreas Christensen,Andreas Christensen,DEF
Andreas Pereira,Andreas Pereira,MID
Andrew Robertson,Andrew Robertson,DEF
Andrew Surman,Andrew Surman,MID
Andre Gray,Andre Gray,FWD
Andriy Yarmolenko,Andriy Yarmolenko,MID
Andros Townsend,Andros Townsend,MID
Andr√© Filipe Tavares Gomes,André Filipe Tavares Gomes,MID
Andr√©-Frank Zambo Anguissa,André-Frank Zambo Anguissa,MID
Andr√© Sch√ºrrle,André Schürrle,FWD
Andy Carroll,Andy Carroll,FWD
Angelo Ogbonna,Angelo Ogbonna,DEF
Angus Gunn,Angus Gunn,GKP
Anthony Knockaert,Anthony Knockaert,MID
Anthony Martial,Anthony Martial,FWD
Anthony Pilkington,Anthony Pilkington,MID
Antonio R√ºdiger,Antonio Rüdiger,DEF
Antonio Valencia,Antonio Valencia,DEF
Aron Gunnarsson,Aron Gunnarsson,MID
Arthur Masuaku,Arthur Masuaku,DEF
Artur Boruc,Artur Boruc,GKP
Ashley Darel Jazz Richards,Ashley Darel Jazz Richards,DEF
Ashley Barnes,Ashley Barnes,FWD
Ashley Westwood,Ashley Westwood,MID
Ashley Williams,Ashley Williams,DEF
Ashley Young,Ashley Young,MID
Asmir Begovic,Asmir Begovic,GKP
Aymeric Laporte,Aymeric Laporte,DEF
Ayoze P√©rez,Ayoze Pérez,FWD
Bakary Sako,Bakary Sako,FWD
Bamidele Alli,Bamidele Alli,MID
Barry Douglas,Barry Douglas,DEF
Beni Baningime,Beni Baningime,MID
Benjamin Chilwell,Benjamin Chilwell,DEF
Benjamin Mendy,Benjamin Mendy,DEF
Ben Davies,Ben Davies,DEF
Ben Foster,Ben Foster,GKP
Ben Gibson,Ben Gibson,DEF
Ben Hamer,Ben Hamer,GKP
Ben Mee,Ben Mee,DEF
Beram Kayal,Beram Kayal,MID
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Mota Veiga de Carvalho e Silva,DEF
Bernardo Fernandes da Silva Junior,Bernardo Fernandes da Silva Junior,MID
Bernard An√≠cio Caldeira Duarte,Bernard Anício Caldeira Duarte,MID
Bernd Leno,Bernd Leno,GKP
Bobby Reid,Bobby Reid,MID
Bonatini Lohner Maia Bonatini,Bonatini Lohner Maia Bonatini,FWD
Brahim Diaz,Brahim Diaz,MID
Bright Enobakhare,Bright Enobakhare,FWD
Bruno Ecuele Manga,Bruno Ecuele Manga,DEF
Bruno Saltor Grau,Bruno Saltor Grau,DEF
Caglar S√∂y√ºnc√º,Caglar Söyüncü,DEF
Callum Hudson-Odoi,Callum Hudson-Odoi,FWD
Callum Paterson,Callum Paterson,MID
Callum Wilson,Callum Wilson,FWD
Calum Chambers,Calum Chambers,DEF
Carlos S√°nchez,Carlos Sánchez,MID
Cenk Tosun,Cenk Tosun,FWD
Cesc F√†bregas,Cesc Fàbregas,MID
Chancel Mbemba,Chancel Mbemba,DEF
Charlie Austin,Charlie Austin,FWD
Charlie Daniels,Charlie Daniels,DEF
Charlie Taylor,Charlie Taylor,DEF
Cheikhou Kouyat√©,Cheikhou Kouyaté,MID
Christian Atsu,Christian Atsu,MID
Christian Benteke,Christian Benteke,FWD
Christian Eriksen,Christian Eriksen,MID
Christian Fuchs,Christian Fuchs,DEF
Christian Kabasele,Christian Kabasele,DEF
Christopher Schindler,Christopher Schindler,DEF
Chris L√∂we,Chris Löwe,DEF
Chris Smalling,Chris Smalling,DEF
Chris Wood,Chris Wood,FWD
Ciaran Clark,Ciaran Clark,DEF
Claudio Bravo,Claudio Bravo,GKP
Collin Quaner,Collin Quaner,FWD
Connor Wickham,Connor Wickham,FWD
Conor Coady,Conor Coady,DEF
Craig Cathcart,Craig Cathcart,DEF
Cuco Martina,Cuco Martina,DEF
Cyrus Christie,Cyrus Christie,DEF
